date,time|cst,stage|meters,discharge|cms,preciptation|amm
08/18/2022,21:15,0.424,1.38,62.74
08/18/2022,21:00,0.424,1.38,62.74
08/18/2022,20:45,0.424,1.38,62.74
08/18/2022,20:30,0.425,1.40,62.74
08/18/2022,20:15,0.424,1.38,62.74
08/18/2022,20:00,0.425,1.40,62.74
08/18/2022,19:45,0.424,1.38,62.74
08/18/2022,19:30,0.425,1.40,62.74
08/18/2022,19:15,0.425,1.40,62.74
08/18/2022,19:00,0.425,1.40,62.74
08/18/2022,18:45,0.426,1.42,62.74
08/18/2022,18:30,0.426,1.42,62.74
08/18/2022,18:15,0.426,1.42,62.74
08/18/2022,18:00,0.426,1.42,62.74
08/18/2022,17:45,0.426,1.42,62.74
08/18/2022,17:30,0.426,1.42,62.74
08/18/2022,17:15,0.426,1.42,62.74
08/18/2022,17:00,0.426,1.42,62.74
08/18/2022,16:45,0.426,1.42,62.74
08/18/2022,16:30,0.427,1.45,62.74
08/18/2022,16:15,0.427,1.45,62.74
08/18/2022,16:00,0.428,1.47,62.74
08/18/2022,15:45,0.428,1.47,62.74
08/18/2022,15:30,0.428,1.47,62.74
08/18/2022,15:15,0.428,1.47,62.74
08/18/2022,15:00,0.428,1.47,62.74
08/18/2022,14:45,0.427,1.45,62.74
08/18/2022,14:30,0.428,1.47,62.74
08/18/2022,14:15,0.427,1.45,62.74
08/18/2022,14:00,0.428,1.47,62.74
08/18/2022,13:45,0.428,1.47,62.74
08/18/2022,13:30,0.429,1.50,62.74
08/18/2022,13:15,0.428,1.47,62.74
08/18/2022,13:00,0.429,1.50,62.74
08/18/2022,12:45,0.428,1.47,62.74
08/18/2022,12:30,0.428,1.47,62.74
08/18/2022,12:15,0.429,1.50,62.74
08/18/2022,12:00,0.427,1.45,62.74
08/18/2022,11:45,0.428,1.47,62.74
08/18/2022,11:30,0.427,1.45,62.74
08/18/2022,11:15,0.428,1.47,62.74
08/18/2022,11:00,0.429,1.50,62.74
08/18/2022,10:45,0.428,1.47,62.74
08/18/2022,10:30,0.427,1.45,62.74
08/18/2022,10:15,0.428,1.47,62.74
08/18/2022,10:00,0.428,1.47,62.74
08/18/2022,09:45,0.429,1.50,62.74
08/18/2022,09:30,0.427,1.45,62.74
08/18/2022,09:15,0.427,1.45,62.74
08/18/2022,09:00,0.429,1.50,62.74
08/18/2022,08:45,0.427,1.45,62.74
08/18/2022,08:30,0.427,1.45,62.74
08/18/2022,08:15,0.427,1.45,62.74
08/18/2022,08:00,0.427,1.45,62.74
08/18/2022,07:45,0.427,1.45,62.74
08/18/2022,07:30,0.427,1.45,62.74
08/18/2022,07:15,0.427,1.45,62.74
08/18/2022,07:00,0.427,1.45,62.74
08/18/2022,06:45,0.426,1.42,62.74
08/18/2022,06:30,0.426,1.42,62.74
08/18/2022,06:15,0.426,1.42,62.74
08/18/2022,06:00,0.427,1.45,62.74
08/18/2022,05:45,0.426,1.42,62.74
08/18/2022,05:30,0.426,1.42,62.74
08/18/2022,05:15,0.426,1.42,62.74
08/18/2022,05:00,0.426,1.42,62.74
08/18/2022,04:45,0.427,1.45,62.74
08/18/2022,04:30,0.426,1.42,62.74
08/18/2022,04:15,0.427,1.45,62.74
08/18/2022,04:00,0.426,1.42,62.74
08/18/2022,03:45,0.427,1.45,62.74
08/18/2022,03:30,0.426,1.42,62.74
08/18/2022,03:15,0.427,1.45,62.74
08/18/2022,03:00,0.427,1.45,62.74
08/18/2022,02:45,0.427,1.45,62.74
08/18/2022,02:30,0.426,1.42,62.74
08/18/2022,02:15,0.427,1.45,62.74
08/18/2022,02:00,0.426,1.42,62.74
08/18/2022,01:45,0.427,1.45,62.74
08/18/2022,01:30,0.427,1.45,62.74
08/18/2022,01:15,0.427,1.45,62.74
08/18/2022,01:00,0.427,1.45,62.74
08/18/2022,00:45,0.427,1.45,62.74
08/18/2022,00:30,0.427,1.45,62.74
08/18/2022,00:15,0.427,1.45,62.74
08/18/2022,00:00,0.427,1.45,62.74
08/17/2022,23:45,0.427,1.45,62.74
08/17/2022,23:30,0.427,1.45,62.74
08/17/2022,23:15,0.428,1.47,62.74
08/17/2022,23:00,0.428,1.47,62.74
08/17/2022,22:45,0.428,1.47,62.74
08/17/2022,22:30,0.427,1.45,62.74
08/17/2022,22:15,0.428,1.47,62.74
08/17/2022,22:00,0.428,1.47,62.74
08/17/2022,21:45,0.428,1.47,62.74
08/17/2022,21:30,0.429,1.50,62.74
08/17/2022,21:15,0.429,1.50,62.74
08/17/2022,21:00,0.429,1.50,62.74
08/17/2022,20:45,0.429,1.50,62.74
08/17/2022,20:30,0.429,1.50,62.74
08/17/2022,20:15,0.430,1.52,62.74
08/17/2022,20:00,0.430,1.52,62.74
08/17/2022,19:45,0.430,1.52,62.74
08/17/2022,19:30,0.430,1.52,62.74
08/17/2022,19:15,0.431,1.55,62.74
08/17/2022,19:00,0.430,1.52,62.74
08/17/2022,18:45,0.431,1.55,62.74
08/17/2022,18:30,0.431,1.55,62.74
08/17/2022,18:15,0.432,1.57,62.74
08/17/2022,18:00,0.432,1.57,62.74
08/17/2022,17:45,0.431,1.55,62.74
08/17/2022,17:30,0.433,1.60,62.74
08/17/2022,17:15,0.433,1.60,62.74
08/17/2022,17:00,0.433,1.60,62.74
08/17/2022,16:45,0.434,1.63,62.74
08/17/2022,16:30,0.434,1.63,62.74
08/17/2022,16:15,0.434,1.63,62.74
08/17/2022,16:00,0.434,1.63,62.74
08/17/2022,15:45,0.435,1.65,62.74
08/17/2022,15:30,0.435,1.65,62.74
08/17/2022,15:15,0.435,1.65,62.74
08/17/2022,15:00,0.435,1.65,62.74
08/17/2022,14:45,0.436,1.68,62.74
08/17/2022,14:30,0.436,1.68,62.74
08/17/2022,14:15,0.436,1.68,62.74
08/17/2022,14:00,0.436,1.68,62.74
08/17/2022,13:45,0.437,1.70,62.74
08/17/2022,13:30,0.437,1.70,62.74
08/17/2022,13:15,0.437,1.70,62.74
08/17/2022,13:00,0.437,1.70,62.74
08/17/2022,12:45,0.437,1.70,62.74
08/17/2022,12:30,0.437,1.70,62.74
08/17/2022,12:15,0.438,1.72,62.74
08/17/2022,12:00,0.438,1.72,62.74
08/17/2022,11:45,0.439,1.74,62.74
08/17/2022,11:30,0.438,1.72,62.74
08/17/2022,11:15,0.440,1.76,62.74
08/17/2022,11:00,0.439,1.74,62.74
08/17/2022,10:45,0.440,1.76,62.74
08/17/2022,10:30,0.439,1.74,62.74
08/17/2022,10:15,0.439,1.74,62.74
08/17/2022,10:00,0.440,1.76,62.74
08/17/2022,09:45,0.440,1.76,62.74
08/17/2022,09:30,0.440,1.76,62.74
08/17/2022,09:15,0.441,1.77,62.74
08/17/2022,09:00,0.440,1.76,62.74
08/17/2022,08:45,0.441,1.77,62.74
08/17/2022,08:30,0.441,1.77,62.74
08/17/2022,08:15,0.441,1.77,62.74
08/17/2022,08:00,0.441,1.77,62.74
08/17/2022,07:45,0.441,1.77,62.74
08/17/2022,07:30,0.441,1.77,62.74
08/17/2022,07:15,0.442,1.79,62.74
08/17/2022,07:00,0.441,1.77,62.74
08/17/2022,06:45,0.441,1.77,62.74
08/17/2022,06:30,0.441,1.77,62.74
08/17/2022,06:15,0.441,1.77,62.74
08/17/2022,06:00,0.441,1.77,62.74
08/17/2022,05:45,0.442,1.79,62.74
08/17/2022,05:30,0.442,1.79,62.74
08/17/2022,05:15,0.441,1.77,62.74
08/17/2022,05:00,0.441,1.77,62.74
08/17/2022,04:45,0.441,1.77,62.74
08/17/2022,04:30,0.442,1.79,62.74
08/17/2022,04:15,0.442,1.79,62.74
08/17/2022,04:00,0.441,1.77,62.74
08/17/2022,03:45,0.442,1.79,62.74
08/17/2022,03:30,0.441,1.77,62.74
08/17/2022,03:15,0.441,1.77,62.74
08/17/2022,03:00,0.441,1.77,62.74
08/17/2022,02:45,0.440,1.76,62.74
08/17/2022,02:30,0.440,1.76,62.74
08/17/2022,02:15,0.441,1.77,62.74
08/17/2022,02:00,0.440,1.76,62.74
08/17/2022,01:45,0.440,1.76,62.74
08/17/2022,01:30,0.439,1.74,62.74
08/17/2022,01:15,0.439,1.74,62.74
08/17/2022,01:00,0.440,1.76,62.74
08/17/2022,00:45,0.438,1.72,62.74
08/17/2022,00:30,0.438,1.72,62.74
08/17/2022,00:15,0.439,1.74,62.74
08/17/2022,00:00,0.438,1.72,62.74
08/16/2022,23:45,0.438,1.72,62.74
08/16/2022,23:30,0.437,1.70,62.74
08/16/2022,23:15,0.437,1.70,62.74
08/16/2022,23:00,0.437,1.70,62.74
08/16/2022,22:45,0.436,1.68,62.74
08/16/2022,22:30,0.436,1.68,62.74
08/16/2022,22:15,0.436,1.68,62.74
08/16/2022,22:00,0.436,1.68,62.74
08/16/2022,21:45,0.436,1.68,62.74
08/16/2022,21:30,0.436,1.68,62.74
08/16/2022,21:15,0.435,1.65,62.74
08/16/2022,21:00,0.436,1.68,62.74
08/16/2022,20:45,0.435,1.65,62.74
08/16/2022,20:30,0.435,1.65,62.74
08/16/2022,20:15,0.435,1.65,62.74
08/16/2022,20:00,0.435,1.65,62.74
08/16/2022,19:45,0.435,1.65,62.74
08/16/2022,19:30,0.435,1.65,62.74
08/16/2022,19:15,0.434,1.63,62.74
08/16/2022,19:00,0.434,1.63,62.74
08/16/2022,18:45,0.434,1.63,62.74
08/16/2022,18:30,0.434,1.63,62.74
08/16/2022,18:15,0.434,1.63,62.74
08/16/2022,18:00,0.434,1.63,62.74
08/16/2022,17:45,0.434,1.63,62.74
08/16/2022,17:30,0.434,1.63,62.74
08/16/2022,17:15,0.433,1.60,62.74
08/16/2022,17:00,0.433,1.60,62.74
08/16/2022,16:45,0.434,1.63,62.74
08/16/2022,16:30,0.432,1.57,62.74
08/16/2022,16:15,0.432,1.57,62.74
08/16/2022,16:00,0.431,1.55,62.74
08/16/2022,15:45,0.432,1.57,62.74
08/16/2022,15:30,0.431,1.55,62.74
08/16/2022,15:15,0.430,1.52,62.74
08/16/2022,15:00,0.430,1.52,62.74
08/16/2022,14:45,0.429,1.50,62.74
08/16/2022,14:30,0.430,1.52,62.74
08/16/2022,14:15,0.429,1.50,62.74
08/16/2022,14:00,0.429,1.50,62.74
08/16/2022,13:45,0.429,1.50,62.74
08/16/2022,13:30,0.429,1.50,62.74
08/16/2022,13:15,0.428,1.47,62.74
08/16/2022,13:00,0.428,1.47,62.74
08/16/2022,12:45,0.430,1.52,62.74
08/16/2022,12:30,0.428,1.47,62.74
08/16/2022,12:15,0.428,1.47,62.74
08/16/2022,12:00,0.428,1.47,62.74
08/16/2022,11:45,0.429,1.50,62.74
08/16/2022,11:30,0.429,1.50,62.74
08/16/2022,11:15,0.428,1.47,62.74
08/16/2022,11:00,0.429,1.50,62.74
08/16/2022,10:45,0.429,1.50,62.74
08/16/2022,10:30,0.430,1.52,62.74
08/16/2022,10:15,0.428,1.47,62.74
08/16/2022,10:00,0.429,1.50,62.74
08/16/2022,09:45,0.429,1.50,62.74
08/16/2022,09:30,0.429,1.50,62.74
08/16/2022,09:15,0.429,1.50,62.74
08/16/2022,09:00,0.428,1.47,62.74
08/16/2022,08:45,0.428,1.47,62.74
08/16/2022,08:30,0.428,1.47,62.74
08/16/2022,08:15,0.427,1.45,62.74
08/16/2022,08:00,0.426,1.42,62.74
08/16/2022,07:45,0.424,1.38,62.74
08/16/2022,07:30,0.423,1.35,62.74
08/16/2022,07:15,0.422,1.33,62.74
08/16/2022,07:00,0.422,1.33,62.74
08/16/2022,06:45,0.421,1.31,62.74
08/16/2022,06:30,0.421,1.31,62.74
08/16/2022,06:15,0.421,1.31,62.74
08/16/2022,06:00,0.422,1.33,62.74
08/16/2022,05:45,0.422,1.33,62.74
08/16/2022,05:30,0.421,1.31,62.74
08/16/2022,05:15,0.422,1.33,62.74
08/16/2022,05:00,0.422,1.33,62.74
08/16/2022,04:45,0.421,1.31,62.74
08/16/2022,04:30,0.420,1.28,62.74
08/16/2022,04:15,0.419,1.26,62.74
08/16/2022,04:00,0.420,1.28,62.74
08/16/2022,03:45,0.419,1.26,62.74
08/16/2022,03:30,0.420,1.28,62.74
08/16/2022,03:15,0.420,1.28,62.74
08/16/2022,03:00,0.420,1.28,62.74
08/16/2022,02:45,0.420,1.28,62.74
08/16/2022,02:30,0.420,1.28,62.74
08/16/2022,02:15,0.421,1.31,62.74
08/16/2022,02:00,0.420,1.28,62.74
08/16/2022,01:45,0.420,1.28,62.74
08/16/2022,01:30,0.421,1.31,62.74
08/16/2022,01:15,0.421,1.31,62.74
08/16/2022,01:00,0.422,1.33,62.74
08/16/2022,00:45,0.422,1.33,62.74
08/16/2022,00:30,0.422,1.33,62.74
08/16/2022,00:15,0.422,1.33,62.74
08/16/2022,00:00,0.422,1.33,62.74
08/15/2022,23:45,0.422,1.33,62.74
08/15/2022,23:30,0.423,1.35,62.74
08/15/2022,23:15,0.422,1.33,62.74
08/15/2022,23:00,0.423,1.35,62.74
08/15/2022,22:45,0.424,1.38,62.74
08/15/2022,22:30,0.424,1.38,62.74
08/15/2022,22:15,0.423,1.35,62.74
08/15/2022,22:00,0.424,1.38,62.74
08/15/2022,21:45,0.424,1.38,62.74
08/15/2022,21:30,0.425,1.40,62.74
08/15/2022,21:15,0.425,1.40,62.74
08/15/2022,21:00,0.424,1.38,62.74
08/15/2022,20:45,0.424,1.38,62.74
08/15/2022,20:30,0.424,1.38,62.74
08/15/2022,20:15,0.425,1.40,62.74
08/15/2022,20:00,0.425,1.40,62.74
08/15/2022,19:45,0.422,1.33,62.74
08/15/2022,19:30,0.422,1.33,62.74
08/15/2022,19:15,0.422,1.33,62.74
08/15/2022,19:00,0.420,1.28,62.74
08/15/2022,18:45,0.421,1.31,62.74
08/15/2022,18:30,0.419,1.26,62.74
08/15/2022,18:15,0.416,1.20,62.74
08/15/2022,18:00,0.413,1.13,62.74
08/15/2022,17:45,0.412,1.11,62.74
08/15/2022,17:30,0.411,1.09,62.74
08/15/2022,17:15,0.410,1.07,62.74
08/15/2022,17:00,0.408,1.03,62.74
08/15/2022,16:45,0.409,1.05,62.74
08/15/2022,16:30,0.408,1.03,62.74
08/15/2022,16:15,0.408,1.03,62.74
08/15/2022,16:00,0.408,1.03,62.74
08/15/2022,15:45,0.410,1.07,62.74
08/15/2022,15:30,0.410,1.07,62.74
08/15/2022,15:15,0.409,1.05,62.74
08/15/2022,15:00,0.409,1.05,62.74
08/15/2022,14:45,0.410,1.07,62.74
08/15/2022,14:30,0.409,1.05,62.74
08/15/2022,14:15,0.410,1.07,62.74
08/15/2022,14:00,0.408,1.03,62.74
08/15/2022,13:45,0.408,1.03,62.74
08/15/2022,13:30,0.408,1.03,62.74
08/15/2022,13:15,0.407,1.01,62.74
08/15/2022,13:00,0.410,1.08,62.74
08/15/2022,12:45,0.410,1.07,62.74
08/15/2022,12:30,0.410,1.07,62.74
08/15/2022,12:15,0.411,1.09,62.74
08/15/2022,12:00,0.411,1.09,62.74
08/15/2022,11:45,0.411,1.09,62.74
08/15/2022,11:30,0.411,1.08,62.74
08/15/2022,11:15,0.410,1.08,62.74
08/15/2022,11:00,0.410,1.07,62.74
08/15/2022,10:45,0.410,1.07,62.74
08/15/2022,10:30,0.410,1.06,62.74
08/15/2022,10:15,0.410,1.06,62.74
08/15/2022,10:00,0.409,1.06,62.74
08/15/2022,09:45,0.409,1.06,62.74
08/15/2022,09:30,0.409,1.05,62.74
08/15/2022,09:15,0.409,1.05,62.74
08/15/2022,09:00,0.409,1.05,62.74
08/15/2022,08:45,0.409,1.04,62.74
08/15/2022,08:30,0.409,1.04,62.74
08/15/2022,08:15,0.408,1.04,62.74
08/15/2022,08:00,0.408,1.04,62.74
08/15/2022,07:45,0.408,1.03,62.74
08/15/2022,07:30,0.408,1.03,62.74
08/15/2022,07:15,0.408,1.03,62.74
08/15/2022,07:00,0.408,1.02,62.74
08/15/2022,06:45,0.407,1.02,62.74
08/15/2022,06:30,0.407,1.02,62.74
08/15/2022,06:15,0.407,1.02,62.74
08/15/2022,06:00,0.407,1.01,62.74
08/15/2022,05:45,0.407,1.01,62.74
08/15/2022,05:30,0.407,1.01,62.74
08/15/2022,05:15,0.407,1.01,62.74
08/15/2022,05:00,0.407,1.01,62.74
08/15/2022,04:45,0.407,1.01,62.74
08/15/2022,04:30,0.407,1.02,62.74
08/15/2022,04:15,0.407,1.02,62.74
08/15/2022,04:00,0.407,1.02,62.74
08/15/2022,03:45,0.407,1.02,62.74
08/15/2022,03:30,0.407,1.02,62.74
08/15/2022,03:15,0.407,1.02,62.74
08/15/2022,03:00,0.408,1.02,62.74
08/15/2022,02:45,0.408,1.02,62.74
08/15/2022,02:30,0.408,1.03,62.74
08/15/2022,02:15,0.408,1.03,62.74
08/15/2022,02:00,0.408,1.03,62.74
08/15/2022,01:45,0.408,1.03,62.74
08/15/2022,01:30,0.408,1.03,62.74
08/15/2022,01:15,0.408,1.03,62.74
08/15/2022,01:00,0.408,1.04,62.74
08/15/2022,00:45,0.408,1.04,62.74
08/15/2022,00:30,0.408,1.04,62.74
08/15/2022,00:15,0.408,1.04,62.74
08/15/2022,00:00,0.408,1.04,62.74
08/14/2022,23:45,0.409,1.04,62.74
08/14/2022,23:30,0.409,1.05,62.74
08/14/2022,23:15,0.409,1.05,62.74
08/14/2022,23:00,0.409,1.05,62.74
08/14/2022,22:45,0.409,1.06,62.74
08/14/2022,22:30,0.409,1.06,62.74
08/14/2022,22:15,0.409,1.06,62.74
08/14/2022,22:00,0.409,1.06,62.74
08/14/2022,21:45,0.410,1.06,62.74
08/14/2022,21:30,0.410,1.07,62.74
08/14/2022,21:15,0.410,1.07,62.74
08/14/2022,21:00,0.410,1.07,62.74
08/14/2022,20:45,0.410,1.07,62.74
08/14/2022,20:30,0.410,1.07,62.74
08/14/2022,20:15,0.410,1.08,62.74
08/14/2022,20:00,0.410,1.08,62.74
08/14/2022,19:45,0.410,1.08,62.74
08/14/2022,19:30,0.411,1.08,62.74
08/14/2022,19:15,0.411,1.09,62.74
08/14/2022,19:00,0.411,1.09,62.74
08/14/2022,18:45,0.411,1.09,62.74
08/14/2022,18:30,0.411,1.09,62.74
08/14/2022,18:15,0.411,1.09,62.74
08/14/2022,18:00,0.411,1.10,62.74
08/14/2022,17:45,0.411,1.10,62.74
08/14/2022,17:30,0.411,1.10,62.74
08/14/2022,17:15,0.411,1.10,62.74
08/14/2022,17:00,0.412,1.10,62.74
08/14/2022,16:45,0.412,1.11,62.74
08/14/2022,16:30,0.412,1.11,62.74
08/14/2022,16:15,0.412,1.11,62.74
08/14/2022,16:00,0.412,1.12,62.74
08/14/2022,15:45,0.412,1.11,62.74
08/14/2022,15:30,0.412,1.11,62.74
08/14/2022,15:15,0.412,1.11,62.74
08/14/2022,15:00,0.412,1.11,62.74
08/14/2022,14:45,0.412,1.11,62.74
08/14/2022,14:30,0.412,1.11,62.74
08/14/2022,14:15,0.412,1.11,62.74
08/14/2022,14:00,0.412,1.11,62.74
08/14/2022,13:45,0.412,1.11,62.74
08/14/2022,13:30,0.412,1.11,62.74
08/14/2022,13:15,0.411,1.10,62.74
08/14/2022,13:00,0.411,1.10,62.74
08/14/2022,12:45,0.411,1.10,62.74
08/14/2022,12:30,0.411,1.10,62.74
08/14/2022,12:15,0.411,1.10,62.74
08/14/2022,12:00,0.411,1.10,62.74
08/14/2022,11:45,0.411,1.09,62.74
08/14/2022,11:30,0.411,1.09,62.74
08/14/2022,11:15,0.411,1.09,62.74
08/14/2022,11:00,0.410,1.08,62.74
08/14/2022,10:45,0.410,1.08,62.74
08/14/2022,10:30,0.410,1.08,62.74
08/14/2022,10:15,0.410,1.07,62.74
08/14/2022,10:00,0.410,1.07,62.74
08/14/2022,09:45,0.410,1.07,62.74
08/14/2022,09:30,0.410,1.07,62.74
08/14/2022,09:15,0.410,1.07,62.74
08/14/2022,09:00,0.410,1.07,62.74
08/14/2022,08:45,0.410,1.07,62.74
08/14/2022,08:30,0.409,1.06,62.74
08/14/2022,08:15,0.409,1.06,62.74
08/14/2022,08:00,0.409,1.06,62.74
08/14/2022,07:45,0.409,1.06,62.74
08/14/2022,07:30,0.409,1.05,62.74
08/14/2022,07:15,0.409,1.05,62.74
08/14/2022,07:00,0.408,1.04,62.74
08/14/2022,06:45,0.408,1.04,62.74
08/14/2022,06:30,0.408,1.04,62.74
08/14/2022,06:15,0.408,1.04,62.74
08/14/2022,06:00,0.408,1.04,62.74
08/14/2022,05:45,0.408,1.03,62.74
08/14/2022,05:30,0.408,1.03,62.74
08/14/2022,05:15,0.408,1.03,62.74
08/14/2022,05:00,0.408,1.03,62.74
08/14/2022,04:45,0.408,1.03,62.74
08/14/2022,04:30,0.408,1.03,62.74
08/14/2022,04:15,0.408,1.03,62.74
08/14/2022,04:00,0.408,1.03,62.74
08/14/2022,03:45,0.408,1.03,62.74
08/14/2022,03:30,0.408,1.03,62.74
08/14/2022,03:15,0.407,1.03,62.74
08/14/2022,03:00,0.407,1.02,62.74
08/14/2022,02:45,0.407,1.02,62.74
08/14/2022,02:30,0.407,1.02,62.74
08/14/2022,02:15,0.407,1.02,62.74
08/14/2022,02:00,0.407,1.01,62.74
08/14/2022,01:45,0.407,1.01,62.74
08/14/2022,01:30,0.407,1.01,62.74
08/14/2022,01:15,0.407,1.01,62.74
08/14/2022,01:00,0.407,1.02,62.74
08/14/2022,00:45,0.407,1.02,62.74
08/14/2022,00:30,0.407,1.02,62.74
08/14/2022,00:15,0.407,1.01,62.74
08/14/2022,00:00,0.407,1.01,62.74
08/13/2022,23:45,0.407,1.01,62.74
08/13/2022,23:30,0.407,1.01,62.74
08/13/2022,23:15,0.407,1.01,62.74
08/13/2022,23:00,0.407,1.01,62.74
08/13/2022,22:45,0.407,1.02,62.74
08/13/2022,22:30,0.407,1.02,62.74
08/13/2022,22:15,0.407,1.02,62.74
08/13/2022,22:00,0.407,1.02,62.74
08/13/2022,21:45,0.407,1.02,62.74
08/13/2022,21:30,0.407,1.03,62.74
08/13/2022,21:15,0.407,1.03,62.74
08/13/2022,21:00,0.407,1.03,62.74
08/13/2022,20:45,0.407,1.03,62.74
08/13/2022,20:30,0.407,1.03,62.74
08/13/2022,20:15,0.408,1.03,62.74
08/13/2022,20:00,0.408,1.03,62.74
08/13/2022,19:45,0.408,1.03,62.74
08/13/2022,19:30,0.408,1.03,62.74
08/13/2022,19:15,0.408,1.04,62.74
08/13/2022,19:00,0.408,1.04,62.74
08/13/2022,18:45,0.409,1.05,62.74
08/13/2022,18:30,0.409,1.05,62.74
08/13/2022,18:15,0.409,1.06,62.74
08/13/2022,18:00,0.409,1.06,62.74
08/13/2022,17:45,0.409,1.06,62.74
08/13/2022,17:30,0.409,1.06,62.74
08/13/2022,17:15,0.409,1.06,62.74
08/13/2022,17:00,0.409,1.06,62.74
08/13/2022,16:45,0.409,1.06,62.74
08/13/2022,16:30,0.409,1.06,62.74
08/13/2022,16:15,0.409,1.05,62.74
08/13/2022,16:00,0.409,1.05,62.74
08/13/2022,15:45,0.409,1.06,62.74
08/13/2022,15:30,0.409,1.06,62.74
08/13/2022,15:15,0.409,1.07,62.74
08/13/2022,15:00,0.410,1.07,62.74
08/13/2022,14:45,0.410,1.07,62.74
08/13/2022,14:30,0.410,1.07,62.74
08/13/2022,14:15,0.409,1.07,62.74
08/13/2022,14:00,0.409,1.06,62.74
08/13/2022,13:45,0.409,1.06,62.74
08/13/2022,13:30,0.409,1.06,62.74
08/13/2022,13:15,0.409,1.06,62.74
08/13/2022,13:00,0.409,1.06,62.74
08/13/2022,12:45,0.409,1.06,62.74
08/13/2022,12:30,0.409,1.06,62.74
08/13/2022,12:15,0.409,1.06,62.74
08/13/2022,12:00,0.409,1.06,62.74
08/13/2022,11:45,0.409,1.05,62.74
08/13/2022,11:30,0.409,1.05,62.74
08/13/2022,11:15,0.408,1.05,62.74
08/13/2022,11:00,0.408,1.05,62.74
08/13/2022,10:45,0.408,1.05,62.74
08/13/2022,10:30,0.408,1.04,62.74
08/13/2022,10:15,0.408,1.04,62.74
08/13/2022,10:00,0.408,1.04,62.74
08/13/2022,09:45,0.408,1.04,62.74
08/13/2022,09:30,0.408,1.03,62.74
08/13/2022,09:15,0.408,1.03,62.74
08/13/2022,09:00,0.408,1.03,62.74
08/13/2022,08:45,0.407,1.03,62.74
08/13/2022,08:30,0.407,1.03,62.74
08/13/2022,08:15,0.407,1.02,62.74
08/13/2022,08:00,0.407,1.03,62.74
08/13/2022,07:45,0.407,1.03,62.74
08/13/2022,07:30,0.407,1.03,62.74
08/13/2022,07:15,0.407,1.03,62.74
08/13/2022,07:00,0.407,1.02,62.74
08/13/2022,06:45,0.407,1.02,62.74
08/13/2022,06:30,0.407,1.02,62.74
08/13/2022,06:15,0.407,1.01,62.74
08/13/2022,06:00,0.406,1.01,62.74
08/13/2022,05:45,0.406,1.01,62.74
08/13/2022,05:30,0.406,1.01,62.74
08/13/2022,05:15,0.406,1.01,62.74
08/13/2022,05:00,0.406,1.01,62.74
08/13/2022,04:45,0.406,1.01,62.74
08/13/2022,04:30,0.406,1.01,62.74
08/13/2022,04:15,0.407,1.01,62.74
08/13/2022,04:00,0.407,1.02,62.74
08/13/2022,03:45,0.407,1.02,62.74
08/13/2022,03:30,0.407,1.02,62.74
08/13/2022,03:15,0.407,1.02,62.74
08/13/2022,03:00,0.407,1.03,62.74
08/13/2022,02:45,0.407,1.03,62.74
08/13/2022,02:30,0.407,1.03,62.74
08/13/2022,02:15,0.407,1.03,62.74
08/13/2022,02:00,0.407,1.03,62.74
08/13/2022,01:45,0.407,1.03,62.74
08/13/2022,01:30,0.407,1.03,62.74
08/13/2022,01:15,0.408,1.03,62.74
08/13/2022,01:00,0.408,1.04,62.74
08/13/2022,00:45,0.408,1.04,62.74
08/13/2022,00:30,0.408,1.05,62.74
08/13/2022,00:15,0.408,1.05,62.74
08/13/2022,00:00,0.409,1.05,62.74
08/12/2022,23:45,0.409,1.06,62.74
08/12/2022,23:30,0.409,1.06,62.74
08/12/2022,23:15,0.409,1.06,62.74
08/12/2022,23:00,0.409,1.06,62.74
08/12/2022,22:45,0.409,1.07,62.74
08/12/2022,22:30,0.409,1.07,62.74
08/12/2022,22:15,0.410,1.08,62.74
08/12/2022,22:00,0.410,1.08,62.74
08/12/2022,21:45,0.410,1.09,62.74
08/12/2022,21:30,0.410,1.09,62.74
08/12/2022,21:15,0.410,1.09,62.74
08/12/2022,21:00,0.410,1.09,62.74
08/12/2022,20:45,0.411,1.09,62.74
08/12/2022,20:30,0.411,1.10,62.74
08/12/2022,20:15,0.411,1.10,62.74
08/12/2022,20:00,0.411,1.10,62.74
08/12/2022,19:45,0.411,1.11,62.74
08/12/2022,19:30,0.411,1.11,62.74
08/12/2022,19:15,0.411,1.11,62.74
08/12/2022,19:00,0.412,1.12,62.74
08/12/2022,18:45,0.412,1.12,62.74
08/12/2022,18:30,0.412,1.13,62.74
08/12/2022,18:15,0.412,1.13,62.74
08/12/2022,18:00,0.412,1.14,62.74
08/12/2022,17:45,0.412,1.14,62.74
08/12/2022,17:30,0.412,1.14,62.74
08/12/2022,17:15,0.412,1.13,62.74
08/12/2022,17:00,0.412,1.13,62.74
08/12/2022,16:45,0.412,1.13,62.74
08/12/2022,16:30,0.413,1.14,62.74
08/12/2022,16:15,0.413,1.14,62.74
08/12/2022,16:00,0.413,1.15,62.74
08/12/2022,15:45,0.413,1.15,62.74
08/12/2022,15:30,0.413,1.15,62.74
08/12/2022,15:15,0.413,1.16,62.74
08/12/2022,15:00,0.413,1.16,62.74
08/12/2022,14:45,0.413,1.15,62.74
08/12/2022,14:30,0.413,1.15,62.74
08/12/2022,14:15,0.413,1.15,62.74
08/12/2022,14:00,0.413,1.14,62.74
08/12/2022,13:45,0.413,1.14,62.74
